Tokens,Tags,__index_level_0__,input_ids,word_ids,attention_masks,labels
"['Зазначимо' ',' 'вчора' 'Генпрокуратура' 'направила' 'до' 'суду'
 'обвинувальний' 'акт' 'у' 'кримінальному' 'провадженні' 'стосовно' 'осіб'
 ',' 'які' '31' 'серпня' '2015' 'року' 'вчинили' 'теракт' 'біля'
 'Верховної' 'Ради' 'України' '.']","['O' 'O' 'O' 'B-ORG' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER'
 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER'
 'I-PER' 'I-PER' 'I-PER' 'O']",1125,"[     101  3184640 13664456  3184640  6461440 13664456  2623488 13664512
  6459904 13664352  3248640  2623488 13664352  7378944 13664456  7372800
 13664256  6461440  2101760  7378944 13664352  2097472 13665128  7378944
 13664456  2103296 13665128  7378944 13664456  6461440 13664456  2101760
  7378944 13664456  3248640 13664512  7641088 13664456  2136064 13664352
  3151872 13665128  2136064 13665128 13664352  2134528  3248640 13664512
  6461440 13665128  3248640 13664456  7641344  6461440 13664512  5275904
 13664456  2097472  2103296 13665128  2097472  7378944 13664512  6459904
 13664520  6461440 13664456  7641344  6461440 13664352  6459904 13665128
  2101760  7378944 13664352  3248640 13664456  2136064  3180544 13664256
  6461440  6461696 13664520  3151872  2103296 13664352  3151872 13664352
  3248640  6461440 13664352 13664352  3152128 13664520  2134528  5275904
 13664456  2097472 13664520  3151872 13664256  7378944  2101760  6461696
 13664456  7378944 13664352  2097472 13665128  3248640  2623488 13664512
  6461440 13664512  7641088 13664512  2103296 13664256  7378944 13664456
  2097472  2103296  2134528 13664520  7641344 13664456  3248640 13664256
  7378944  3146048 13664352  3248640  6461440 13664352  5275904 13664520
  7378944 13664456  2136064 13664512 13665128  2097472  7378944 13664456
  5275904 13664520  6461440 13664512      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  4.  4.  4.  4.  4.  4.  4.
  4.  4.  5.  5.  6.  6.  6.  6.  7.  7.  7.  7.  7.  7.  7.  7.  7.  7.
  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10.
 11. 11. 11. 11. 11. 11. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 12. 12.
 12. 13. 13. 13. 13. 15. 15. 15. 15. 17. 17. 17. 17. 17. 17. 19. 19. 19.
 19. 20. 20. 20. 20. 20. 20. 20. 21. 21. 21. 21. 21. 21. 22. 22. 22. 22.
 23. 23. 23. 23. 23. 23. 23. 23. 23. 23. 24. 24. 24. 24. 25. 25. 25. 25.
 25. 25. 25. 25. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    7    7    7    7    7    7    7    7    7    7    7    7    7
    7    0    0    0    0    0    0    0    0    0    0    0    7    7
    7    7    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    5    5    5    5    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6 -100]"
"['Підозрюваним' 'загрожує' 'довічне' 'позбавлення' 'волі' 'із'
 'конфіскацією' 'майна' '.']",['B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],1126,"[     101  2101760 13664520  2136064 13664352  3184640  7379200 13665128
  3248640 13664456  6461440 13664512  6459904  3184640 13664456  7372800
  7378944 13664352  3180544 13665128 13664256  2136064 13664352  3248640
 13664520  2623488  6461440 13664256  2101760 13664352  3184640  2134528
 13664456  3248640  7641088 13664256  6461440  6461696 13664456  3248640
 13664352  7641344 13664520 13664520  3184640  2097472 13664352  6461440
  3215872 13664520  3151872  2097472 13664456  2627840 13664520 13664256
 13665128  6459904 13664456  5275904  6461440 13664456      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.
  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.  3.  3.  3.  3.  3.  3.  3.  3.
  3.  3.  3.  4.  4.  4.  4.  5.  5.  6.  6.  6.  6.  6.  6.  6.  6.  6.
  6.  6.  6.  7.  7.  7.  7.  7. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    5    5    5    5    5    5    5    5    5    5    5    5    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0 -100]"
"['Як' 'повідомляв' 'iPress.ua,' '31' 'серпня' 'минулого' 'року' 'після'
 'голосування' 'за' 'проект' 'змін' 'до' 'Конституції' ',' 'що'
 'стосуються' 'децентралізації' ',' 'під' 'Радою' 'відбулася' 'сутичка'
 'між' 'противниками' 'законопроекту' 'та' 'правоохоронцями' '.']","['O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'B-PER' 'O']",1127,"[     101  5275904 13664456  2097472  2101760 13664352  3248640 13664520
  2136064 13664352  6459904  7641344 13664456  3248640 13664520  2101760
  7378944 13664264  3151872  3151872 13665128 13664392  3151872 13664256
  7378944  2101760  6461696 13664456  6459904 13664512  6461440 13665128
  7641088 13664352  7372800 13664352  7378944 13664352  2097472 13665128
  2101760 13664520  3151872  7641344 13664456  7372800 13664352  7641088
 13664352  3151872 13665128  3248640 13664456  6461440  6461696 13664456
  3184640 13664456  2101760  7378944 13664352 13664256  2097472  2103296
  3184640  6459904 13664520  6461440  2136064 13664352  2097472 13664352
  6461440  3151872  2103296 13664512  2103296 13665128  2627840 13664520
  5275904 13664520  3147776  2623488 13664352  3151872  2103296 13664352
  3151872 13665128 13665128  2103552  3152128 13664456  2136064 13664256
  2627584 13664256  6461440  2103296  7378944 13664456  7641344 13664520
  3184640 13664456  2627840 13664520  5275904 13664520  2101760 13664520
  2136064  7378944 13664456  2136064 13664352 13665128  3248640 13664520
  2136064  2134528 13665128  7641088 13664456  3152128 13664456  3151872
 13665128  2103296 13664512  2623488  2097472 13664456  6459904 13664520
  3180544  2101760  7378944 13664352  2103296 13664512  3248640  6461440
 13664512  2097472 13664456  6459904 13664512  3184640 13664456  2097472
 13664352  6461440 13664352  2101760  7378944 13664352 13664256  2097472
  2103296 13665128  2103296 13664456  2101760  7378944 13664456  3248640
 13664352 13664352  3146048 13664352  7378944 13664352  6461440  2627840
 13664456  6459904 13664512      102]","[nan  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.
  2.  2.  2.  2.  4.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  5.  5.  5.
  6.  6.  6.  6.  7.  7.  7.  7.  7.  8.  8.  8.  8.  8.  8.  8.  8.  8.
  8.  8.  9.  9. 10. 10. 10. 10. 10. 10. 11. 11. 11. 11. 12. 12. 13. 13.
 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 15. 15. 15. 16. 16. 16. 16. 16.
 16. 16. 16. 16. 17. 17. 17. 17. 17. 17. 17. 17. 17. 17. 17. 17. 17. 17.
 17. 17. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21. 21. 21. 21. 21. 21.
 21. 22. 22. 22. 22. 22. 22. 22. 23. 23. 23. 24. 24. 24. 24. 24. 24. 24.
 24. 24. 24. 24. 24. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
 26. 26. 27. 27. 27. 27. 27. 27. 27. 27. 27. 27. 27. 27. 27. 27. 27. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    7    7    7    7    7    7    7    7    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    1    1    1    1    1    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    5    5    5
    5    5    5    5    5    5    5    5    5    6    6    6    6    6
    6    6    6    6    6    6    6    6    0    0    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5 -100]"
"['У' 'правоохоронців' ',' 'які' 'охороняли' 'будівлю' 'ВРУ' ',' 'кинули'
 'бойову' 'гранату' ',' 'внаслідок' 'чого' 'поранення' 'отримали' 'понад'
 '120' 'осіб' '.']","['O' 'B-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'I-PER' 'O']",1128,"[     101 13665128  2101760  7378944 13664456  3248640 13664352 13664352
  3146048 13664352  7378944 13664352  6461440  2627840 13664520  3248640
  5275904 13664456  2097472 13664520 13664352  3146048 13664352  7378944
 13664352  6461696 13664456  7641088 13664512  2134528 13665128  2136320
 13664520  3248640  7641344 13665128  3248640  7378944 13665128  2097472
 13664512  6461440 13665128  7641088 13664512  2134528 13664352  5275904
 13664352  3248640 13665128  7372800  7378944 13664456  6461440 13664456
  2103296 13665128  3248640  6461440 13664456  3151872  7641344 13664520
  2136064 13664352  2097472  2623488 13664352  7372800 13664352  2101760
 13664352  7378944 13664456  6461440 13664256  6461440  6461696 13664456
 13664352  2103296  7378944 13664512  6459904 13664456  7641088 13664512
  2101760 13664352  6461440 13664456  2136064 13664352  3152128 13664520
  2134528      102]","[nan  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  5.  5.
  6.  6.  6.  8.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9.  9. 10. 10. 10.
 10. 10. 10. 10. 12. 12. 12. 12. 12. 12. 12. 12. 12. 13. 13. 13. 13. 14.
 14. 14. 14. 14. 14. 14. 14. 14. 15. 15. 15. 15. 15. 15. 15. 15. 16. 16.
 16. 16. 16. 18. 18. 18. 18. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    5    5    5    5    5    6    6    6    6 -100]"
['Один' 'нацгвардієць' 'загинув' 'від' 'отриманих' 'поранень' '.'],['B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O'],1129,"[     101 13664352  2136064 13664512  6461440  6461440 13664456  2627584
  7372800  3248640 13664456  7378944  2136320 13664520 13664256  2627840
  3184640 13664456  7372800 13664512  6461440 13665128  3248640  3248640
 13664520  2136064 13664352  2103296  7378944 13664512  6459904 13664456
  6461440 13664512  3146048  2101760 13664352  7378944 13664456  6461440
 13664256  6461696      102]","[nan  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  2.  2.
  2.  2.  2.  2.  2.  3.  3.  3.  4.  4.  4.  4.  4.  4.  4.  4.  4.  5.
  5.  5.  5.  5.  5.  5. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1]","[-100    5    5    5    5    6    6    6    6    6    6    6    6    6
    6    6    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 -100]"
"['Міністр' 'внутрішніх' 'справ' 'Арсен' 'Аваков' 'заявив' 'про' 'те' ','
 'що' 'до' 'масових' 'сутичок' 'під' 'будівлею' 'Верховної' 'Ради'
 'причетний' 'лідер' 'ВО' '""' 'Свобода' '""' 'Олег' 'Тягнибок' 'та' 'його'
 'соратники' 'з' 'політсили' '.']","['B-TTL' 'I-TTL' 'I-TTL' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-LOC' 'I-LOC' 'I-LOC' 'I-LOC' 'O' 'B-PER' 'I-PER' 'I-PER' 'I-PER' 'O'
 'B-PER' 'I-PER' 'O' 'B-PER' 'I-PER' 'I-PER' 'I-PER' 'O']",1130,"[     101  6459904 13664520  6461696 13664520  3151872  2103296  7378944
  3248640  6461440 13665128  2103296  7379200 13664520  3147776  6461696
 13664520  3146048  3151872  2101760  7378944 13664456  3248640 13664456
  7378944  3151872 13664256  6461440 13664456  3248640 13664456  2097472
 13664352  3248640  3184640 13664456 13664456  3248640 13664512  3248640
  2101760  7378944 13664352  2103296 13664256  3147776  2623488 13664352
  2136064 13664352  6459904 13664456  3151872 13664352  3248640 13664512
  3146048  3151872 13665128  2103296 13664512  2623488 13664352  2097472
  2101760 13664520  2136064  2134528 13665128  2136320 13664520  3248640
  7641088 13664256 13665128  3248640 13664256  7378944  3146048 13664352
  3248640  6461440 13664352  5275904 13664520  7378944 13664456  2136064
 13664512  2101760  7378944 13664512  2623488 13664256  2103296  6461440
 13664512  5275904  7641344 13664520  2136064 13664256  7378944  3248640
 13664352  3151872  3248640 13664352  2134528 13664352  2136064 13664456
 13664352  7641088 13664256  7372800  2103552 13664456  7372800  6461440
 13664512  2134528 13664352  2097472  2103296 13664456  5275904 13664352
  7372800 13664352  3151872 13664352  7378944 13664456  2103296  6461440
 13664512  2097472 13664512  3184640  2101760 13664352  7641344 13664520
  2103296  3151872 13664512  7641088 13664512      102]","[nan  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  2.  2.  2.  2.  2.  3.  3.  3.  3.  3.  4.  4.  4.  4.  4.  4.  5.  5.
  5.  5.  5.  5.  6.  6.  6.  7.  7.  9.  9.  9. 10. 10. 11. 11. 11. 11.
 11. 11. 11. 12. 12. 12. 12. 12. 12. 12. 13. 13. 13. 14. 14. 14. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 15. 15. 15. 15. 15. 16. 16. 16. 16. 17.
 17. 17. 17. 17. 17. 17. 17. 17. 18. 18. 18. 18. 18. 19. 19. 21. 21. 21.
 21. 21. 21. 21. 23. 23. 23. 23. 24. 24. 24. 24. 24. 24. 24. 24. 25. 25.
 26. 26. 26. 26. 27. 27. 27. 27. 27. 27. 27. 27. 27. 28. 29. 29. 29. 29.
 29. 29. 29. 29. 29. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1]","[-100    9    9    9    9    9    9    9   10   10   10   10   10   10
   10   10   10   10   10   10   10   10   10    5    5    5    5    5
    6    6    6    6    6    6    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    1    1    1    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    0    0    0    0    0    0    0    0    0
    5    5    5    5    5    6    6    6    6    6    6    6    6    6
    5    5    5    5    6    6    6    6    6    6    6    6    0    0
    5    5    5    5    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6 -100]"
"['У' 'результаті' 'терористичного' 'акту' 'поранення' 'отримали' '112'
 'військовослужбовців' 'Національної' 'гвардії' 'і' 'співробітників'
 'міліції' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER'
 'I-PER' 'O']",1131,"[     101 13665128  7378944 13664256  3184640 13665128  7641344  2103296
 13664456  2103552 13664520  2103296 13664256  7378944 13664352  7378944
 13664512  3151872  2103296 13664512  2623488  6461440 13664352  7372800
 13664352 13664456  2097472  2103296 13665128  2101760 13664352  7378944
 13664456  6461440 13664256  6461440  6461696 13664456 13664352  2103296
  7378944 13664512  6459904 13664456  7641088 13664512  3248640 13664520
  5275904  3152128  2097472 13664352  3248640 13664352  3151872  7641088
 13665128  3180544  2134528 13664352  3248640  2627840 13664520  3248640
  6461440 13664456  2627840 13664520 13664352  6461440 13664456  7641344
  6461440 13664352  5275904 13664520  7372800  3248640 13664456  7378944
  2136320 13664520  5275904 13664520 13664520  3151872  2101760 13664520
  3248640  7378944 13664352  2134528 13664520  2103296  6461440 13664512
  2097472 13664520  3248640  6459904 13664520  7641344 13664520  2627840
 13664520  5275904 13664520      102]","[nan  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.
  2.  2.  2.  2.  2.  2.  2.  3.  3.  3.  3.  4.  4.  4.  4.  4.  4.  4.
  4.  4.  5.  5.  5.  5.  5.  5.  5.  5.  7.  7.  7.  7.  7.  7.  7.  7.
  7.  7.  7.  7.  7.  7.  7.  7.  7.  7.  8.  8.  8.  8.  8.  8.  8.  8.
  8.  8.  8.  8.  9.  9.  9.  9.  9.  9.  9.  9. 10. 11. 11. 11. 11. 11.
 11. 11. 11. 11. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 12. 12. 12. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6 -100]"
"['У' 'МОЗ' 'заявили' ',' 'що' 'бригади' 'швидкої' 'допомоги' 'забрали'
 'з-під' 'Верховної' 'Ради' '44' 'осіб' ',' 'з' 'яких' '21' 'людина' '-'
 'з' 'вогнепальними' 'пораненнями' '.']","['O' 'B-ORG' 'O' 'O' 'O' 'B-PER' 'I-PER' 'I-PER' 'O' 'O' 'B-LOC' 'I-LOC'
 'B-PER' 'I-PER' 'O' 'O' 'O' 'B-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER'
 'I-PER' 'O']",1132,"[     101 13665128  6459904 13664352  3184640  3184640 13664456 13664456
  3248640 13664512  7641088 13664512  3147776  2623488 13664352  2134528
  7378944 13664512  7372800 13664456  2136064 13664512  3147776  3248640
 13664512  2136064  2097472 13664352  5275904 13664520  2136064 13664352
  2101760 13664352  6459904 13664352  7372800 13664512  3184640 13664456
  2134528  7378944 13664456  7641088 13664512  3184640  2101760 13664520
  2136064  3248640 13664256  7378944  3146048 13664352  3248640  6461440
 13664352  5275904 13664520  7378944 13664456  2136064 13664512 13664352
  3152128 13664520  2134528  3184640  5275904 13664456  2097472 13664512
  3146048  7641344 13665128  2136064 13664512  6461440 13664456  3184640
  3248640 13664352  7372800  6461440 13664256  2101760 13664456  7641344
  6461440 13664512  6459904 13664512  2101760 13664352  7378944 13664456
  6461440 13664256  6461440  6461696 13664456  6459904 13664512      102]","[nan  0.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.  4.  4.  4.  5.  5.  5.
  5.  5.  5.  5.  6.  6.  6.  6.  6.  6.  6.  6.  7.  7.  7.  7.  7.  7.
  7.  7.  8.  8.  8.  8.  8.  8.  8.  9.  9.  9.  9. 10. 10. 10. 10. 10.
 10. 10. 10. 10. 10. 11. 11. 11. 11. 13. 13. 13. 13. 15. 16. 16. 16. 16.
 16. 18. 18. 18. 18. 18. 18. 20. 21. 21. 21. 21. 21. 21. 21. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    7    7    7    0    0    0    0    0    0    0    0    0
    0    5    5    5    5    5    5    5    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    0    0    0    0
    0    0    0    0    0    0    0    1    1    1    1    1    1    1
    1    1    1    2    2    2    2    6    6    6    6    0    0    0
    0    0    0    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6 -100]"
"['200' 'тисяч' 'дітей' 'в' 'Україні' 'стали' 'переселенцями' ',' '-' 'ООН']",['B-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'O' 'B-PER' 'O' 'O' 'B-ORG'],1133,"[     101  2103296 13664512  3152128 13664456  2623488  2136320 13664520
  2103296 13664256  5275904  3248640 13665128  2097472  7378944 13664456
  5275904 13664520  6461696 13664520  3151872  2103296 13664456  7641088
 13664512  2101760 13664256  7378944 13664256  3151872 13664256  7641088
 13664256  6461440  2627840 13664456  6459904 13664512 13664352 13664352
  6461440      102]","[nan  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  4.  4.  4.  4.  4.  4.
  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  6.  6.  6.  6.  6.  6.
  6.  6.  9.  9.  9. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","[-100    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    0    0    0    0    0    5    5    5
    5    5    5    5    5    5    5    5    5    5    7    7    7 -100]"
"['200' 'тисяч' 'дітей' 'в' 'Україні' 'стали' 'переселенцями' ',' '-' 'ООН'
 'Усього' 'в' 'світі' 'налічується' 'близько' '50' 'млн' 'дітей-біженців']","['B-PER' 'I-PER' 'I-PER' 'I-PER' 'I-PER' 'O' 'B-PER' 'O' 'O' 'B-ORG' 'O'
 'B-LOC' 'I-LOC' 'O' 'B-PER' 'I-PER' 'I-PER' 'I-PER']",1134,"[     101  2103296 13664512  3152128 13664456  2623488  2136320 13664520
  2103296 13664256  5275904  3248640 13665128  2097472  7378944 13664456
  5275904 13664520  6461696 13664520  3151872  2103296 13664456  7641088
 13664512  2101760 13664256  7378944 13664256  3151872 13664256  7641088
 13664256  6461440  2627840 13664456  6459904 13664512 13664352 13664352
  6461440 13665128  3152128 13664352  7372800 13664352  3248640  3151872
  3248640 13664520  2103552 13664520  6461440 13664456  7641344 13664520
  2623488 13665128 13664256  2103552  3152128 13664456  2134528  7641088
 13664512  3184896  2097472 13664352  6459904  7641088  6461440  2136320
 13664520  2103296 13664256  5275904  2134528 13664520  3180544 13664256
  6461440  2627840 13664520  3248640      102]","[nan  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  4.  4.  4.  4.  4.  4.
  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  6.  6.  6.  6.  6.  6.
  6.  6.  9.  9.  9. 10. 10. 10. 10. 10. 11. 12. 12. 12. 12. 12. 13. 13.
 13. 13. 13. 13. 13. 13. 13. 13. 14. 14. 14. 14. 14. 14. 16. 16. 16. 17.
 17. 17. 17. 17. 17. 17. 17. 17. 17. 17. 17. 17. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[-100    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    0    0    0    0    0    5    5    5
    5    5    5    5    5    5    5    5    5    5    7    7    7    0
    0    0    0    0    1    2    2    2    2    2    0    0    0    0
    0    0    0    0    0    0    5    5    5    5    5    5    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
 -100]"
